id,hospital_id,name,slug,address,province,latitude,longitude,map_url,status
13,3174260,RS Anak & Bunda Harapan Kita,rs-anak-bunda-harapan-kita,Jl. Let.Jend. S Parman Kav. 87,DKI Jakarta,-6.1850419,106.7979331,https://maps.app.goo.gl/xscD1cN6yKwfhtZp7,Success
26,3373042,RS Ario Wirawan,rs-ario-wirawan,"Jl. Hasanudin No.806,Salatiga",Jawa Tengah,-7.3496583,110.4890855,https://maps.app.goo.gl/zF1gaTL6uiuJKpKs5,Success
33,5303056,RS Ben Mboi,rs-ben-mboi,"Viquam Street, Manulai II Sub-District, Alak District, Kupang City, East Nusa Tenggara, Indonesia",Nusa Tenggara Timur,-10.221027,123.577965,https://maps.app.goo.gl/WsJ6yd6UBL6iqo9H9,Success
10,3173014,RS Dr. Cipto Mangunkusumo,rs-dr-cipto-mangunkusumo,Jl. Pangeran Diponegoro No.71,DKI Jakarta,-6.1975158,106.846959,https://maps.app.goo.gl/EFvBsdCSsZN4zGp87,Success
42,8171123,RS Dr. Johannes Leimena Ambon,rs-dr-johannes-leimena-ambon,"Jl. Mr. CHR Soplanit, Negeri Rumahtiga, Kec. Teluk Ambon, Kota Ambon, Provinsi Maluku",Maluku,-3.6613893,128.1863259,https://maps.app.goo.gl/yPvYiTaEyPxPRoCN9,Success
27,3374010,RS Dr. Kariadi,rs-dr-kariadi,"Jl. Dr. Soetomo No.16, Semarang",Jawa Tengah,-6.9942118,110.4074897,https://maps.app.goo.gl/PY98ZyaRGoikq9KL6,Success
2,1371010,RS Dr. M. Djamil,rs-dr-m-djamil,Jalan Perintis Kemerdekaan,Sumatera Barat,-0.943415,100.3669707,https://maps.app.goo.gl/NQgLwYyFExmxCDJ87,Success
5,1671072,RS Dr. Rivai Abdullah,rs-dr-rivai-abdullah,Jl. Sungai Kundur Kelurahan Mariana Kec. Banyuasin I,Sumatera Selatan,-2.9795361,104.8634025,https://maps.app.goo.gl/Eu4gfxdMZF3ahMcu6,Success
28,3404015,RS Dr. Sardjito,rs-dr-sardjito,Jl Kesehatan No.1 Sekip Yogyakarta,DI Yogyakarta,-7.7686163,110.3734742,https://maps.app.goo.gl/DYn12vHVid96AnoTA,Success
31,3671032,RS Dr. Sitanala Tangerang,rs-dr-sitanala-tangerang,Jalan. Dr Sitanala No. 99,Banten,-6.1624125,106.6345842,https://maps.app.goo.gl/k8HJFS36BHuZMyLd9,Success
21,3310015,RS Dr. Soeradji Tirtonegoro,rs-dr-soeradji-tirtonegoro,"Jl. KRT. Soeradji Tirtonegoro No. 1, Klaten, Jawa Tengah, Indonesia",Jawa Tengah,-7.7142685,110.588542,https://maps.app.goo.gl/D6XYyqQHxB9MCV3r8,Success
37,7371314,RS Dr. Tadjuddin Chalid Makassar,rs-dr-tadjuddin-chalid-makassar,Jl. Paccerakkang No.67,Sulawesi Selatan,-5.1112459,119.5166236,https://maps.app.goo.gl/KkXJgtgZANkxn5Wa7,Success
38,7371325,RS Dr. Wahidin Sudirohusodo,rs-dr-wahidin-sudirohusodo,Jl. Perintis Kemerdekaan Km.11,Sulawesi Selatan,-5.1347756,119.4940408,https://maps.app.goo.gl/VbG4Myjn24ZeaMSE7,Success
6,3171012,RS Fatmawati,rs-fatmawati,"Jl. RS Fatmawati Cilandak, Jaksel",DKI Jakarta,-6.2950638,106.7962141,https://maps.app.goo.gl/HrNy5rVDiEsm7k998,Success
1,1275655,RS H. Adam Malik,rs-h-adam-malik,"Jl Bunga Lau No. 17, Medan",Sumatera Utara,3.5182954,98.6083782,https://maps.app.goo.gl/TcLYk3p6YJTNjuWs8?g_st=aw,Success
18,3273015,RS Hasan Sadikin,rs-hasan-sadikin,Jl. Pasteur No. 38 Bandung,Jawa Barat,-6.8981588,107.5983954,https://maps.app.goo.gl/3piBf5wCyXxGi98F8,Success
34,6409048,RS Ibu Kota Nusantara,rs-ibu-kota-nusantara,Jalan Sumbu Kebangsaan Sisi Barat,Kalimantan Timur,-0.970696,116.7037223,https://maps.app.goo.gl/wkX3RDH3ymQSga438,Success
14,3174282,RS Jantung dan Pembuluh Darah Harapan Kita,rs-jantung-dan-pembuluh-darah-harapan-kita,Jl. Letjen S. Parman Kav 87,DKI Jakarta,-6.1848441,106.7982382,https://maps.app.goo.gl/k8g7UV3JpHhS2brt7,Success
43,9271081,RS Jayapura,rs-jayapura,Jln. Raya Abepura - Sentani,Papua,-2.605648,140.65991,https://maps.app.goo.gl/cBfXUXWxPkVAeZPH6,Success
29,3507026,RS Jiwa Dr. Radjiman Wediodiningrat Lawang,rs-jiwa-dr-radjiman-wediodiningrat-lawang,Jl. A. Yani,Jawa Timur,-7.8249138,112.7155527,https://maps.app.goo.gl/2sHcoDMvNUMpQwYZ7,Success
12,3174063,RS Kanker Dharmais,rs-kanker-dharmais,Jl. S Parman Kav.84-86 Slipi Jakarta Barat,DKI Jakarta,-6.1868287,106.7979783,https://maps.app.goo.gl/16xpm2bTRZdGPK1Z9,Success
25,3372254,RS Kardiologi Emirates Indonesia,rs-kardiologi-emirates-indonesia,"Jalan Surya Jebres, Desa/Kelurahan Jebres, Kecamatan Jebres, Kota Surakarta, Provinsi Jawa Tengah",Jawa Tengah,-7.5531706,110.8526171,https://maps.app.goo.gl/maWbLzGmYxCgmGocA,Success
7,3171435,RS Ketergantungan Obat,rs-ketergantungan-obat,"Jl. Lapangan Tembak No 75, Kel. Cibubur, Kec. Ciracas, Jakarta Timur 13720",DKI Jakarta,-6.346524,106.8725003,https://maps.app.goo.gl/cjnJz1D9r58Tckar9,Success
41,7371453,RS Makassar,rs-makassar,"Jalan Metro Tanjung Bunga, Kawasan Center Point Indonesia, Maccini Sombala, Tamalate",Sulawesi Selatan,-5.1403223,119.4012041,https://maps.app.goo.gl/qoPfqK3VBiNxc8VQA,Success
17,3271046,RS Marzoeki Mahdi,rs-marzoeki-mahdi,Jl. dr. Sumeru No.114 Kota Bogor,Jawa Barat,-6.582968,106.779593,https://maps.app.goo.gl/yWtNsEgEXFCRgXdM8,Success
19,3273191,RS Mata Cicendo,rs-mata-cicendo,Jl. Cicendo No.4 Bandung,Jawa Barat,-6.9103504,107.6044101,https://maps.app.goo.gl/ViPTddAUULMgQSjCA,Success
